"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		159",부산,2010,14.9,19,34.1,2010-08-22,11.7,-8.1,2010-12-25
"		159",부산,2011,14.6,18.8,33,2011-07-20,11.3,-12.8,2011-01-16
"		159",부산,2012,14.5,18.6,34.5,2012-08-01,11.3,-9.9,2012-02-02
"		159",부산,2013,15.3,19.5,35,2013-08-19,11.8,-10.7,2013-02-08
"		159",부산,2014,15.1,19.2,32.9,2014-07-31,12,-6,2014-12-17
"		159",부산,2015,15.4,19.5,33.5,2015-08-10,12.2,-7.8,2015-02-09
"		159",부산,2016,15.7,19.8,37.3,2016-08-14,12.5,-10.2,2016-01-24
"		159",부산,2017,15.2,19.6,36.2,2017-08-06,11.7,-7.7,2017-01-15
"		159",부산,2018,15.1,19.2,36.4,2018-08-05,11.8,-9.9,2018-01-26
"		159",부산,2019,15.7,19.8,35,2019-08-13,12.5,-4.4,2019-01-16
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
