#살아있다,좀비 영화 다 비슷한 내용이지~ 너무 기대들 하시고 보신것 같음나름 좀비 드라마인듯 가벼운 맘으로 보면 볼만하다 생각했음깜짝놀랄만한게 나오나했는데 역시나 그 장면은 심장 쫄깃했음
#살아있다,코로나 시기에 일부러 시간내서 돈 내서 보러 갔는데 무슨 tv드라마보다 재미가 없노.
#살아있다,평점이 5점이나 되나요? 너무 높아서 원래 2점짜리인데, 0점 줍니다.
#살아있다,재미없음
#살아있다,내용은 없으나 연기력은 짱
#살아있다,우리 살아있다
#살아있다,볼 영화가 없어서 예매율 1위인 영화.예고편이 전부인 영화임.좀비가 한국에서 뜨니까 만들어진 아류작이며 보는 내내 번히 예성되는 내용, 뻔한  전개 때문에 극장 빈자리를 둘러보면서 하품하기는 처음.고등학교, 대학교 영화동아리에서 으싸 으싸햐서 여름 방학동안 만든 영화 같음.영화 음악도 어디서 둘운거 같은데??? 생각이 듬
#살아있다,
#살아있다,
#살아있다,내용은 평범한데 유아인 연기력의 점수준거임
밤쉘: 세상을 바꾼 폭탄선언,<빅 쇼트> 제작진의 또 하나의 사회를 향해 던지는 돌직구.
밤쉘: 세상을 바꾼 폭탄선언,실화가 바탕인 때문인지 이야기의 나열이 주를 이루고, 제대로 된 처벌 없이 퇴사와 합의로 끝을 맺기에 통쾌함이 덜하다. 그리고 메긴 켈리를 비롯한 과거 피해자들의 증언과 그레천의 녹음 파일만으로는 로저 에일스의 악행을 표현하기에 부족하다고 여겼는지 케일라(마고 로비)라는 가상의 인물을 넣었는데, 오히려 이야기의 신빙성을 떨어뜨릴 수도 있어 과유불급이라는 생각이 든다. 성별을 떠나 권력을 남용해 사심을 채우는 일은 결코 없어야 한다. 용기 있는 폭로가 성 문제뿐 아니라 모든 분야에서 일어나길 바란다. PS:문득 폭로(1994)가 떠올랐다.
밤쉘: 세상을 바꾼 폭탄선언,
밤쉘: 세상을 바꾼 폭탄선언,이런게 좋은 영화가 아니면 뭐가 좋은 영화냐수작임 다만 내용이 아닌 비쥬얼쇼크족이라면 다소 실망 가능
밤쉘: 세상을 바꾼 폭탄선언,<The Big Short>가 사회고발 장르에 독을 풀었다
밤쉘: 세상을 바꾼 폭탄선언,이런 영화들이 더 많이 만들어져야 한다!!!
밤쉘: 세상을 바꾼 폭탄선언,이제 피자게이트를 보여줘
밤쉘: 세상을 바꾼 폭탄선언,넘 밋밋하다.실망!미국 언론도 참 문제많다는 사실만 재확인하는.....
밤쉘: 세상을 바꾼 폭탄선언,특별한건 없는 전형적 헐리우드 폭로극
밤쉘: 세상을 바꾼 폭탄선언,미녀삼총사
다크 나이트 라이즈,.
다크 나이트 라이즈,IMAX로 재관람!!!첨 볼때 보다 더 감명깊게 봤네요.이번에 시리즈 연달아 다 봤더니...ㅠ 도대체 히어로물이 왜 감동이냐구요.보통 3편 실망하는데 이만하면 만족할만한 끝맺음입니다. 이제 다시 크리스천 베일의 배트맨 못 보나요. 그는   진정한 다크 나이트.ㅠ
다크 나이트 라이즈,
다크 나이트 라이즈,나에게 배트맨은 다크나이트 시리즈 뿐이다
다크 나이트 라이즈,
다크 나이트 라이즈,미국식 영웅얘기=히어로 물이라고 생각했던, 배트맨을  고뇌하는 인간, 철학물+영웅물로 완성  영웅물을 이렇게 풀수 있는건 이전에도 이후에도 없을듯.
다크 나이트 라이즈,사요나라  우려먹기 이러고 있네 원래 3부작이였어 빡대야
다크 나이트 라이즈,또 다른   뉴버전의  배트맨 시리즈!!   진심으로 기대됩니다!!  사랑해요 배트맨 !!
다크 나이트 라이즈,우려먹기 이제그만
다크 나이트 라이즈,지금 보니 재밌다
소년시절의 너,호구남의 희생은 케케묵은 스토리지만 실화니까 토달 수 없다 급변하는 사회의 어두운 면이라는 공감 물론 그 분들의 수인한도 내 또는 관심 밖이라 가능했겠지만
소년시절의 너,학교폭력 상이한 커플 희생과 극복..주동우의 매력
소년시절의 너,이영화 절대강추 이다 마침내 드디어 올해 두번째 절대강추 하게됐다 상반기도 끝나고 이제는 하반기 7월이 됐지만 이제야 올해 두번째 절대강추 하게됐다 지난해에는 기생충을 끝내 고민끝에 최종 그냥 강추 평점을 줬는데 올해는 지프라기라도 잡고 싶은 짐승들을 절대강추를 줄까 고민고민 하다가 결국은 그냥 기생충처럼 강추 평점만 주게됐는데  물론 기생충도 지푸라기라도 잡고 싶은 짐승들도 절대강추 평점을 받아도 전혀 손색이 없지만  이영화 소년시절의 너는 내 기준에선 상당부분 충족 합격 절대강추 평점을 주겠다 학교폭력과 대학입시 그리고 우정과사랑 스토리를 잘 짬뽕해서 시나리오를 너무너무 잘썼고 무엇보다도 이를 잘 연출했다 묘하게 프랑스의 옛날영화 이브몽땅인지 장가방인지 둘 중 누군지 갑자기 떠오르지 않는데 암튼 알랑드롱과 함께한 암흑가의 두 사람이란 영화가 난 왠지 어쩐지 떠올랐다
소년시절의 너,한국영화가 신파극을 공산품 찍어내듯이.
소년시절의 너,
소년시절의 너,https://youtu.be/m_--UbeMzfU 칭구 왕따 시키지 말아라. 나중에 후회하지 말고
소년시절의 너,주동우, 이양천새.. 두 젊은 친구의 연기가 너무 좋아서 누군지 일부러 찾아봤네. 연기 최고다. 진심 쩐다. 화면구성이나 연출, 장면도 너무 좋았다. 수준 높은 작품이다. 후반에 눈물이.. ㅜㅜ 정말 최고다. 영화내용은.. 학원폭력, 왕따 관련 내용으로 일반적으로 짐작하는 내용은 맞는데, 그 보다 더 괜찮은 영화임.
소년시절의 너,남주 미쳤네.네이버 평점 못달아 이민옴~남주 후까시 장난아님.
소년시절의 너,
소년시절의 너,댓글 마케팅 오지게 하네..ㅎㅎㅎㅎ
온워드: 단 하루의 기적,
온워드: 단 하루의 기적,애들이 보러가자고 졸라서 억지로따라갔는데 ㅜㅜ 너무잼있게봤어요. 심장 쫄깃해지고 스릴넘쳐요
온워드: 단 하루의 기적,와 아들 둘이랑 정말 잼있게 봤네요 감동 슬픔 재미  다있네요  남자형제있는집에 강추입니다
온워드: 단 하루의 기적,ㅠㅠㅠㅠㅠ보고 울었어요
온워드: 단 하루의 기적,그냥 저냥 괜춘한 내용 늘 보던 미국식 가족애 소재가 마법사라는 점이 좀 새롭긴 했지만 마법보다는 가족 그냥 디즈니
온워드: 단 하루의 기적,주제를 보자면 어느 정도는 예상이 되지만알고봐도 그 감동은 어느새 흐르는 눈물이 말해줬어요아이들과 보러갔다가 아버지와 형제들 생각에 눈물이 멈추지 않았어요명작입니다
온워드: 단 하루의 기적,.
온워드: 단 하루의 기적,
온워드: 단 하루의 기적,눈물을 참을만 했다 https://sp017.tistory.com/389 10살 딸 - 7점 7살 아들 - 9점
온워드: 단 하루의 기적,5학년 아들이랑 둘이서 봤습니다.저는 좋은 영화였다고 생각했는데우리 아들에게서도 같은 느낌을 받았습니다.말하지 않아도 통하는....
결백,전개가 허술하다고? 시나리오가 부실하다고?거의 완벽한 시나리오와 사운드, 중간 중간 나오는 흑백의 영상미, 촬영 기법까지뭐 뻔한 결과겠지하고 하고 봤다가 배종옥씨의 열연에 감동을 받고 갑니다.
결백,배우들의 연기가 다했다, 중간 중간 허술한 전개들이 약간 아쉬움.
결백,신혜선 진짜 연기잘한다
결백,음....볼만하군~  신혜선 ... 오~~~~~~~굿
결백,증거조작한 검새는 어떻게 됬을까
결백,보통
결백,잘 보았어요신혜선 짱♡♡♡
결백,신혜선 참 연기 잘함 ㅎ
결백,시나리오가 조금 헐렁한 구조라도배우들의 연기가 좋으면 볼만하구나......
결백,스토리가 탄탄하고 지루하지 않고 좋았어요^^
원 데이,
원 데이,옹옹홍은 꼴페미
원 데이,연출은 조금 아쉬웠지만 훈남훈녀의 열연과 배경이 너무 좋네요. 소소한 웃음으로 이끌다 마지막엔 잔잔한 음악과 함께 여운있는 먹먹함까지... 좋은 영화였습니다.
원 데이,
